"id","queue_id","service_id","counter_id","user_id","token_letter","token_number","called_date","started_at","ended_at","waiting_time","served_time","turn_around_time","created_at","updated_at","call_status_id"
"28","45","1","2","2","W","1","2024-01-25","2024-01-25 18:26:13","2024-01-25 18:34:14","00:06:45","00:08:01","00:14:46","2024-01-25 18:34:01","2024-01-25 18:34:14","1"
"29","46","1","2","2","W","2","2024-01-25","2024-01-25 18:34:16","2024-01-25 18:34:24","00:13:39","00:00:08","00:13:47","2024-01-25 18:34:16","2024-01-25 18:34:24","1"
"30","48","2","2","2","NR","1","2024-01-25","2024-01-25 18:34:53","null","00:00:13","null","null","2024-01-25 18:34:53","2024-01-25 18:34:53","null"
"31","47","1","2","2","W","3","2024-01-25","2024-01-25 18:35:14","2024-01-25 18:35:18","00:10:17","00:00:04","00:10:21","2024-01-25 18:35:14","2024-01-25 18:35:18","1"
"32","50","3","3","2","T","1","2024-01-25","2024-01-25 18:35:58","2024-01-25 18:37:00","00:00:29","00:01:02","00:01:31","2024-01-25 18:35:58","2024-01-25 18:37:00","1"
"35","49","2","8","7","NR","2","2024-01-25","2024-01-25 18:36:48","null","00:02:03","null","null","2024-01-25 18:37:08","2024-01-25 18:37:08","null"
"36","51","3","3","2","T","2","2024-01-25","2024-01-25 19:08:49","2024-01-25 19:08:55","00:33:17","00:00:06","00:33:23","2024-01-25 19:08:49","2024-01-25 19:08:55","1"
"38","52","3","3","2","T","3","2024-01-25","2024-01-25 19:08:59","2024-01-25 19:10:33","00:33:23","00:01:34","00:34:57","2024-01-25 19:09:59","2024-01-25 19:10:33","1"
"41","54","2","2","13","NR","2","2024-01-26","2024-01-26 10:14:05","2024-01-26 10:14:44","00:34:22","null","null","2024-01-26 10:14:05","2024-01-26 10:14:44","2"
"42","53","2","3","10","NR","1","2024-01-26","2024-01-26 10:06:54","2024-01-26 10:20:39","00:52:13","00:13:45","01:05:58","2024-01-26 10:20:26","2024-01-26 10:20:39","1"
"43","56","1","2","13","W","1","2024-01-26","2024-01-26 10:21:23","2024-01-26 10:21:26","00:35:19","00:00:03","00:35:22","2024-01-26 10:21:23","2024-01-26 10:21:26","1"
"44","58","1","2","13","W","2","2024-01-26","2024-01-26 10:21:28","2024-01-26 10:21:30","00:34:46","00:00:02","00:34:48","2024-01-26 10:21:28","2024-01-26 10:21:30","1"
"45","60","1","2","13","W","3","2024-01-26","2024-01-26 10:21:32","2024-01-26 10:21:35","00:32:25","00:00:03","00:32:28","2024-01-26 10:21:32","2024-01-26 10:21:35","1"
"46","63","1","2","13","W","4","2024-01-26","2024-01-26 10:21:37","2024-01-26 10:21:39","00:21:28","00:00:02","00:21:30","2024-01-26 10:21:37","2024-01-26 10:21:39","1"
"47","64","1","2","13","W","5","2024-01-26","2024-01-26 10:21:40","2024-01-26 10:21:42","00:21:23","00:00:02","00:21:25","2024-01-26 10:21:40","2024-01-26 10:21:42","1"
"48","68","1","2","13","W","6","2024-01-26","2024-01-26 10:21:43","2024-01-26 10:21:45","00:09:42","00:00:02","00:09:44","2024-01-26 10:21:43","2024-01-26 10:21:45","1"
